Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	n_samples_with_counts	pct_total_reads	Chr	gene	product	organism	contrast
C7Y58_RS01455	1025.280405139	22.4488903546197	4.34973408978135	5.16097993377525	2.45660513901373e-07	0.000211527164669406	8	0.334979262783986	NZ_CP028101.1		MliC family protein	F. nucleatum	CRC vs Healthy
C7Y58_RS04385	772.90435317469	22.1097440416002	4.254829422428	5.19638787986555	2.03198060113612e-07	0.000211527164669406	8	0.241265938570542	NZ_CP028101.1		adhesion protein FadA	F. nucleatum	CRC vs Healthy
C7Y58_RS09435	600.6347057766	21.7637573568582	4.2210165695238	5.15604641639998	2.52218399844283e-07	0.000211527164669406	8	0.194256372200238	NZ_CP028101.1		DNA-directed RNA polymerase subunit alpha	F. nucleatum	CRC vs Healthy
C7Y58_RS00640	461.333140032795	21.3972467940902	4.23313513510666	5.05470440020598	4.31057882335045e-07	0.000271135407988743	8	0.181786180036955	NZ_CP028101.1	secY	preprotein translocase subunit SecY	F. nucleatum	CRC vs Healthy
I6J55_RS09050	25.5781956099845	-8.0597455655526	1.6250112554529	-4.95980907117244	7.05624978960887e-07	0.000355070489413118	8	0.000985383031976019	NZ_CP069563.1		RNA polymerase sigma-70 factor	B. fragilis	CRC vs Healthy
C7Y58_RS02645	222.212138559153	20.4172729849085	4.49627273614974	4.5409329422468	5.60058444317829e-06	0.00234851174317276	7	0.0740396422991636	NZ_CP028101.1	rpmG	50S ribosomal protein L33	F. nucleatum	CRC vs Healthy
C7Y58_RS00500	210.183249968054	20.3453466786144	4.53670814095901	4.48460558767917	7.30489269519209e-06	0.0026255871458719	7	0.0530747688257428	NZ_CP028101.1	rsxC	electron transport complex subunit RsxC	F. nucleatum	CRC vs Healthy
C7Y58_RS01525	164.562208205901	20.0163335773785	4.80481559494528	4.16589007046095	3.10140132138069e-05	0.00867013969399313	6	0.0381411190825201	NZ_CP028101.1		DUF4198 domain-containing protein	F. nucleatum	CRC vs Healthy
C7Y58_RS03445	134.522698710698	21.150336650807	5.06359352754328	4.1769420344979	2.95454278409808e-05	0.00867013969399313	5	0.0396022042678638	NZ_CP028101.1	rpsT	30S ribosomal protein S20	F. nucleatum	CRC vs Healthy
C7Y58_RS00795	105.661991361178	19.3061623481061	4.72390357971745	4.08690863865194	4.37159167378826e-05	0.00999902241022843	6	0.0293066505199764	NZ_CP028101.1	rpsR	30S ribosomal protein S18	F. nucleatum	CRC vs Healthy
C7Y58_RS00800	169.45484116729	19.7589000072628	4.82030950499943	4.0990936342925	4.14771222319637e-05	0.00999902241022843	6	0.0482837685668249	NZ_CP028101.1	rpsF	30S ribosomal protein S6	F. nucleatum	CRC vs Healthy
I6J55_RS08090	57.7041617992935	13.5989294998191	3.38326349789786	4.01947099546594	5.83289616904084e-05	0.0104825476866477	7	0.00297313845854833	NZ_CP069563.1		RNA polymerase sigma-70 factor	B. fragilis	CRC vs Healthy
C7Y58_RS08620	156.466728762975	19.4466550072141	4.82589494478815	4.02964739798492	5.58605801290895e-05	0.0104825476866477	6	0.052717992210717	NZ_CP028101.1		ribosomal-processing cysteine protease Prp	F. nucleatum	CRC vs Healthy
C7Y58_RS09310	99.1743489394475	19.2901305665685	4.79252066542583	4.02504901141714	5.69634503247006e-05	0.0104825476866477	6	0.0242608098217544	NZ_CP028101.1		C4-dicarboxylate TRAP transporter substrate-binding protein	F. nucleatum	CRC vs Healthy
C7Y58_RS05580	241.566742618362	19.2899532830023	5.07423858953385	3.8015463685113	0.000143795820808779	0.0241193523436592	5	0.0746002912656328	NZ_CP028101.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	F. nucleatum	CRC vs Healthy
I6J55_RS09635	17.2735753530016	-6.21302887623916	1.66490326921725	-3.7317656773899	0.000190142331481193	0.0298998816254175	9	0.0011382872955585	NZ_CP069563.1		DUF5107 domain-containing protein	B. fragilis	CRC vs Healthy
C7Y58_RS03305	152.839449550126	19.87830529677	5.36518135158857	3.70505747972234	0.000211342800989798	0.0312787345464901	5	0.0408764064643845	NZ_CP028101.1		OmpH family outer membrane protein	F. nucleatum	CRC vs Healthy
C7Y58_RS10185	139.80314325017	19.8098015385747	5.46982906763005	3.62164910340751	0.000292731007476502	0.0409172897117155	4	0.0413011405298914	NZ_CP028101.1	rpmB	50S ribosomal protein L28	F. nucleatum	CRC vs Healthy
C7Y58_RS03520	93.0907724872965	19.2338658705786	5.35114226738693	3.59434769428601	0.000325205314049502	0.0411674059301089	5	0.0200474478919259	NZ_CP028101.1	kamC	lysine 5,6-aminomutase reactivase ATPase KamC	F. nucleatum	CRC vs Healthy
C7Y58_RS10360	125.814418993734	19.6516087833263	5.4698423179043	3.59271943160064	0.000327244880207543	0.0411674059301089	5	0.0250423205022871	NZ_CP028101.1		TRAP transporter large permease	F. nucleatum	CRC vs Healthy
I6J55_RS11815	22.96002731783	-5.91568305589638	1.69016073605578	-3.50007128298426	0.000465133758736394	0.0487615223741986	9	0.0017159256246479	NZ_CP069563.1		glycosyltransferase family 2 protein	B. fragilis	CRC vs Healthy
C7Y58_RS03505	95.6215392780432	19.2826133660816	5.46987868953901	3.52523601720072	0.000423105642515656	0.0487615223741986	4	0.0196906712769001	NZ_CP028101.1	kdd	L-erythro-3,5-diaminohexanoate dehydrogenase	F. nucleatum	CRC vs Healthy
C7Y58_RS09570	88.7151274369409	19.1599521963206	5.46989078087702	3.50280343134174	0.000460389079215999	0.0487615223741986	4	0.0340127039657929	NZ_CP028101.1		energy transducer TonB	F. nucleatum	CRC vs Healthy
C7Y58_RS10375	72.2477079495077	18.8772508886653	5.39036536424959	3.50203550465512	0.000461718086323539	0.0487615223741986	5	0.013472564557879	NZ_CP028101.1		N-acetylmannosamine-6-phosphate 2-epimerase	F. nucleatum	CRC vs Healthy
C7Y58_RS00050	72.4948513047216	19.0055245548395	5.46992879530716	3.47454697603102	0.000511716755872415	0.0514991743109998	4	0.0200644372545462	NZ_CP028101.1	nikA	nickel ABC transporter substrate-binding protein	F. nucleatum	CRC vs Healthy
C7Y58_RS10355	52.8182598002125	18.4757382715114	5.47000589997856	3.37764503537077	0.000731093875822452	0.0707473919834342	3	0.010890181439597	NZ_CP028101.1		sialic acid TRAP transporter substrate-binding protein SiaP	F. nucleatum	CRC vs Healthy
C7Y58_RS07115	41.5651153704087	18.1173225921364	5.47008218782666	3.31207502374562	0.00092606707612409	0.083213741554579	3	0.0179067882017711	NZ_CP028101.1		GntP family permease	F. nucleatum	CRC vs Healthy
C7Y58_RS08750	112.923562679943	18.1454388225987	5.46985465843981	3.31735301130915	0.00090874718024474	0.083213741554579	4	0.0279475015103543	NZ_CP028101.1		DUF6612 family protein	F. nucleatum	CRC vs Healthy
C7Y58_RS06920	32.4596523201883	18.0361917693059	5.47018291017176	3.29718257423673	0.000976599954966044	0.0847284650584334	3	0.0160719370387813	NZ_CP028101.1		toxin-antitoxin system YwqK family antitoxin	F. nucleatum	CRC vs Healthy
C7Y58_RS04880	31.8496707293455	17.8296889754046	5.47019176320079	3.25942667958167	0.00111637632195944	0.0936267608683316	4	0.0140332135243481	NZ_CP028101.1	atpB	F0F1 ATP synthase subunit A	F. nucleatum	CRC vs Healthy
I6J55_RS15510	210.711141425208	-6.31963037462803	1.97754690674566	-3.19569176997571	0.00139496046755845	0.109573710744049	11	0.0110770644284201	NZ_CP069563.1		ExbD/TolR family protein	B. fragilis	CRC vs Healthy
C7Y58_RS03500	60.7633513554441	17.4332224410587	5.46996869214448	3.18707901675834	0.00143717506142831	0.109573710744049	4	0.0141691284253103	NZ_CP028101.1	kce	3-keto-5-aminohexanoate cleavage enzyme	F. nucleatum	CRC vs Healthy
C7Y58_RS10365	37.25465888088	17.5106020155635	5.47012448506448	3.2011340991186	0.00136887809285173	0.109573710744049	3	0.00733940465195932	NZ_CP028101.1		ROK family protein	F. nucleatum	CRC vs Healthy
I6J55_RS13335	24.7935521265874	-4.15527325538929	1.31890460010411	-3.15054876225414	0.0016296405077999	0.120593397577193	10	0.00344884061191607	NZ_CP069563.1		glycoside hydrolase family 2 protein	B. fragilis	CRC vs Healthy
C7Y58_RS00620	309.556856906143	8.24881266105618	2.62982585721494	3.13663835893374	0.00170896780531101	0.122850371376071	10	0.124616974819726	NZ_CP028101.1	rpsB	30S ribosomal protein S2	F. nucleatum	CRC vs Healthy
I6J55_RS08970	312.119100568562	3.6379516282981	1.16727587826349	3.11661681359347	0.0018293918749342	0.127854165481512	11	0.150016071937039	NZ_CP069563.1		peptidylprolyl isomerase	B. fragilis	CRC vs Healthy
I6J55_RS01225	1364.99892264223	-2.77159160956165	0.898696327986709	-3.08401350183623	0.00204228326657036	0.138875262126785	11	0.291639398739661	NZ_CP069563.1	ppdK	pyruvate, phosphate dikinase	B. fragilis	CRC vs Healthy
I6J55_RS14165	5265.63272204451	-2.81988178449532	0.922651193337442	-3.05628151229628	0.00224100740940948	0.148378280054586	11	1.21005036326655	NZ_CP069563.1	pckA	phosphoenolpyruvate carboxykinase (ATP)	B. fragilis	CRC vs Healthy
I6J55_RS08145	105.041819370122	6.61845050133795	2.18590534564622	3.02778458112116	0.00246353632668966	0.158929676870543	10	0.052038417705906	NZ_CP069563.1		peptide chain release factor 3	B. fragilis	CRC vs Healthy
I6J55_RS09400	166.581860982117	-2.44517401051901	0.811854493497401	-3.01183774937971	0.00259671350244284	0.163333279303655	11	0.0378522999179754	NZ_CP069563.1	nagB	glucosamine-6-phosphate deaminase	B. fragilis	CRC vs Healthy
I6J55_RS03870	28.0730253046017	-5.06287924820294	1.70544659772625	-2.96865305249247	0.00299108103678987	0.183550241184471	10	0.0020727022396737	NZ_CP069563.1		type IV secretory system conjugative DNA transfer family protein	B. fragilis	CRC vs Healthy
I6J55_RS10355	86.7686226820677	6.34314593690902	2.18519772857175	2.9027789357327	0.00369867618379588	0.216751078848482	10	0.0366460551719357	NZ_CP069563.1		DUF349 domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS20445	721.458381966386	-1.70066384959349	0.585972341975175	-2.90229372236402	0.00370441033008136	0.216751078848482	11	0.249335885815173	NZ_CP069563.1		diphosphate--fructose-6-phosphate 1-phosphotransferase	B. fragilis	CRC vs Healthy
I6J55_RS06815	121.270448298926	-4.6455866823187	1.6137294165716	-2.87878911706792	0.00399205178354937	0.228272779259323	10	0.0159190327751988	NZ_CP069563.1	rpiB	ribose 5-phosphate isomerase B	B. fragilis	CRC vs Healthy
C7Y58_RS03545	1808.25639668456	10.8428898083383	3.8344649763286	2.8277451679113	0.00468771055521034	0.262095105709094	10	0.658915439864792	NZ_CP028101.1	fomA	major outer membrane protein FomA	F. nucleatum	CRC vs Healthy
C7Y58_RS01810	25.2497732162922	-3.60348719493973	1.2824720890046	-2.80979775375587	0.00495726406210032	0.271140790874878	9	0.00618412799378053	NZ_CP028101.1	eutM	ethanolamine utilization microcompartment protein EutM	F. nucleatum	CRC vs Healthy
I6J55_RS10800	156.586322699321	-2.18218074996884	0.784408332384388	-2.78194488747411	0.00540342151248065	0.289255500540454	11	0.0354058317006556	NZ_CP069563.1	hflX	GTPase HflX	B. fragilis	CRC vs Healthy
C7Y58_RS02945	571.996950760921	9.14828681927874	3.30255667390339	2.7700620224228	0.00560456192643448	0.293772454310607	10	0.263505014240484	NZ_CP028101.1	ahpC	alkyl hydroperoxide reductase subunit C	F. nucleatum	CRC vs Healthy
I6J55_RS05045	73.8896633064715	-2.09868834754716	0.766911149061272	-2.7365469260892	0.00620877390359313	0.312425502828806	11	0.0192829265740135	NZ_CP069563.1		OPT family oligopeptide transporter	B. fragilis	CRC vs Healthy
C7Y58_RS09430	256.243763792491	7.99389520186322	2.91441109140206	2.74288525234013	0.00609019632387402	0.312425502828806	10	0.088888345229285	NZ_CP028101.1	rplQ	50S ribosomal protein L17	F. nucleatum	CRC vs Healthy
I6J55_RS00940	80.8152917630474	6.12805587177851	2.25283418554508	2.72015397808597	0.00652515238555302	0.321907517687283	10	0.0384809063349256	NZ_CP069563.1	rsxC	electron transport complex subunit RsxC	B. fragilis	CRC vs Healthy
I6J55_RS12510	96.9235330622873	6.23092476761474	2.30484655189446	2.70340112772074	0.00686338636128103	0.325816605377039	10	0.0481988217537236	NZ_CP069563.1	sufB	Fe-S cluster assembly protein SufB	B. fragilis	CRC vs Healthy
C7Y58_RS02665	278.896130715039	8.14344897454196	3.00989523761832	2.70555894197359	0.00681895458874073	0.325816605377039	10	0.123410730073686	NZ_CP028101.1	rplK	50S ribosomal protein L11	F. nucleatum	CRC vs Healthy
I6J55_RS09310	140.185753555729	3.38894796948541	1.28733573861021	2.63252846001468	0.00847519220613363	0.365191425466087	11	0.0593268542700045	NZ_CP069563.1		glycogen/starch synthase	B. fragilis	CRC vs Healthy
I6J55_RS15290	83.0613569393741	6.28717317432783	2.37870369480908	2.64310901271478	0.00821485817548125	0.365191425466087	10	0.0537543433305539	NZ_CP069563.1	rpmD	50S ribosomal protein L30	B. fragilis	CRC vs Healthy
I6J55_RS15305	380.428954897536	3.22964060909027	1.22915467536606	2.62752985756527	0.00860072936002207	0.365191425466087	11	0.240756257691934	NZ_CP069563.1	map	type I methionyl aminopeptidase	B. fragilis	CRC vs Healthy
I6J55_RS16795	137.838682418674	7.04794622722758	2.68220337965095	2.62767032533706	0.00859717901207444	0.365191425466087	10	0.0663604503947988	NZ_CP069563.1		hypothetical protein	B. fragilis	CRC vs Healthy
I6J55_RS19915	1113.60775186754	-2.33337248980663	0.889487833831873	-2.62327645309613	0.00870885752303864	0.365191425466087	11	0.264269535558396	NZ_CP069563.1		GGGtGRT protein	B. fragilis	CRC vs Healthy
C7Y58_RS00725	388.511251817066	8.56211564184743	3.24261660153389	2.64049583839089	0.00827848093740061	0.365191425466087	10	0.136662432917502	NZ_CP028101.1	rplB	50S ribosomal protein L2	F. nucleatum	CRC vs Healthy
C7Y58_RS09445	259.432227175211	8.00667923519295	3.03170485170312	2.64098242633845	0.00826660071796183	0.365191425466087	10	0.0999314309324646	NZ_CP028101.1	rpsK	30S ribosomal protein S11	F. nucleatum	CRC vs Healthy
I6J55_RS10575	12.5317989684116	-3.89300895654482	1.50350207131537	-2.58929404276705	0.00961729337040109	0.384081113014748	9	0.00195377670133176	NZ_CP069563.1		SusC/RagA family TonB-linked outer membrane protein	B. fragilis	CRC vs Healthy
I6J55_RS15750	83.6707124160381	6.31546207171882	2.43463616875199	2.59400651020319	0.00948646906003485	0.384081113014748	10	0.0541281093081999	NZ_CP069563.1	der	ribosome biogenesis GTPase Der	B. fragilis	CRC vs Healthy
I6J55_RS19450	1361.27816192177	-3.35309324004691	1.29181609327109	-2.59564287634499	0.00944141401398511	0.384081113014748	11	0.230426725218806	NZ_CP069563.1		class II fructose-bisphosphate aldolase	B. fragilis	CRC vs Healthy
I6J55_RS02495	412.531512025631	4.06108007050495	1.58484594311372	2.56244468943538	0.0103938141602924	0.403041895638644	11	0.200287595930436	NZ_CP069563.1		thioredoxin family protein	B. fragilis	CRC vs Healthy
I6J55_RS11330	110.461435320347	-3.64975714910241	1.42762967302237	-2.55651533312255	0.0105726411415543	0.403041895638644	11	0.0471115025460259	NZ_CP069563.1		malate dehydrogenase	B. fragilis	CRC vs Healthy
I6J55_RS11420	59.1047992849139	5.68053458379831	2.21916624577923	2.55976071851421	0.0104744255095886	0.403041895638644	10	0.0263844801492889	NZ_CP069563.1	argH	argininosuccinate lyase	B. fragilis	CRC vs Healthy
I6J55_RS00345	476.813858951048	2.22983423550987	0.878836738063347	2.53725651071854	0.0111725057803545	0.410042123586542	11	0.220165150196159	NZ_CP069563.1		glycosyltransferase family 1 protein	B. fragilis	CRC vs Healthy
I6J55_RS00840	70.2526591366521	5.90276687423075	2.34040959669881	2.52210847304536	0.0116653729917916	0.410042123586542	10	0.0318550549130179	NZ_CP069563.1		outer membrane protein assembly factor BamD	B. fragilis	CRC vs Healthy
I6J55_RS03385	58.7787188592074	5.6537676044114	2.23261151093881	2.53235620111714	0.011329883080915	0.410042123586542	10	0.0299692356621672	NZ_CP069563.1	panB	3-methyl-2-oxobutanoate hydroxymethyltransferase	B. fragilis	CRC vs Healthy
I6J55_RS18480	52.793967803741	5.64015295109331	2.23105646042945	2.52801892337931	0.011470816914144	0.410042123586542	10	0.0224599373840051	NZ_CP069563.1		O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase family protein	B. fragilis	CRC vs Healthy
I6J55_RS19620	96.6672237746482	3.96331991377885	1.56785473495158	2.5278616860517	0.011475955222263	0.410042123586542	11	0.0403667255857762	NZ_CP069563.1	pheS	phenylalanine--tRNA ligase subunit alpha	B. fragilis	CRC vs Healthy
C7Y58_RS00740	420.139821780653	8.70739682978063	3.45525991466674	2.52004105185252	0.0117341148244162	0.410042123586542	10	0.149268539981747	NZ_CP028101.1	rplC	50S ribosomal protein L3	F. nucleatum	CRC vs Healthy
I6J55_RS00105	36.3468511851961	-6.46289757363142	2.57968671626673	-2.50530327302084	0.0122346438052095	0.412348390482855	7	0.00203872351443314	NZ_CP069563.1		HU family DNA-binding protein	B. fragilis	CRC vs Healthy
I6J55_RS00845	79.0751929885422	6.18034132515174	2.4748574382635	2.49725144955752	0.0125160171704703	0.412348390482855	10	0.0419977043973227	NZ_CP069563.1		DNA-directed RNA polymerase subunit omega	B. fragilis	CRC vs Healthy
I6J55_RS06450	45.2499653387872	5.45639434057658	2.18752024382913	2.49432861522939	0.0126195652095309	0.412348390482855	10	0.0213386394510669	NZ_CP069563.1		GH92 family glycosyl hydrolase	B. fragilis	CRC vs Healthy
I6J55_RS06760	64.458230752106	5.95228265696465	2.38389366641956	2.49687422757599	0.0125293386947383	0.412348390482855	9	0.0343015231303376	NZ_CP069563.1		SPOR domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS16925	171.818876364773	-2.42789126906764	0.973006242834194	-2.49524737065985	0.012586934781526	0.412348390482855	11	0.0494050664997632	NZ_CP069563.1		4-alpha-glucanotransferase	B. fragilis	CRC vs Healthy
I6J55_RS19855	54.8424231258915	5.54787683391135	2.22887638850285	2.48909130292232	0.0128070071351467	0.413108076308067	10	0.0200304585293056	NZ_CP069563.1	folD	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	B. fragilis	CRC vs Healthy
C7Y58_RS04185	386.411929847647	8.61731579996776	3.51351183966217	2.45262181919851	0.0141819350455016	0.451667703474457	9	0.110362899581314	NZ_CP028101.1		carbon starvation CstA family protein	F. nucleatum	CRC vs Healthy
I6J55_RS13845	58.0833965885549	5.50146448158405	2.25847858945139	2.43591615491932	0.0148541271496585	0.463720103417106	10	0.026265554610947	NZ_CP069563.1		FKBP-type peptidyl-prolyl cis-trans isomerase	B. fragilis	CRC vs Healthy
I6J55_RS15240	62.9753219789184	5.81726194818475	2.39427708751546	2.42965276597176	0.0151132943085066	0.463720103417106	10	0.0368159487981385	NZ_CP069563.1	rpmC	50S ribosomal protein L29	B. fragilis	CRC vs Healthy
I6J55_RS19920	738.714869890913	-2.2023304074908	0.905870850408186	-2.43117482640978	0.0150499507159636	0.463720103417106	11	0.198537691580548	NZ_CP069563.1		iron-sulfur cluster assembly scaffold protein	B. fragilis	CRC vs Healthy
I6J55_RS08360	109.079505336754	6.12690458528906	2.53027020911559	2.42144280212294	0.0154590336471572	0.468613598268042	10	0.0342845337677174	NZ_CP069563.1		catalase	B. fragilis	CRC vs Healthy
C7Y58_RS00625	286.741464809087	8.12429939927766	3.36887386215676	2.41157720107587	0.015883688752817	0.475754296453424	10	0.0976548563413476	NZ_CP028101.1	tsf	translation elongation factor Ts	F. nucleatum	CRC vs Healthy
I6J55_RS08990	56.8556896465884	5.73258255089673	2.42934058087981	2.3597278191519	0.0182883476878365	0.511260919806628	10	0.032296778341145	NZ_CP069563.1		membrane protein	B. fragilis	CRC vs Healthy
I6J55_RS09785	46.5312219994892	5.46403634696568	2.30166483699235	2.37394961210152	0.0175989519592541	0.511260919806628	9	0.0210837990117628	NZ_CP069563.1		IS1096 element passenger TnpR family protein	B. fragilis	CRC vs Healthy
I6J55_RS16810	11.1630034916955	-5.17148066392079	2.17673819099229	-2.3757936004069	0.0175112549502652	0.511260919806628	7	0.00297313845854833	NZ_CP069563.1		DUF4249 domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS17050	62.2196104386249	5.85821294939571	2.4790085459395	2.3631273716225	0.0181214401851972	0.511260919806628	10	0.0354058317006556	NZ_CP069563.1		putative transporter	B. fragilis	CRC vs Healthy
I6J55_RS19715	25.2684720788827	-3.20549092526207	1.35628135887824	-2.36344096619693	0.0181061110753972	0.511260919806628	10	0.00543659603848838	NZ_CP069563.1		sulfatase family protein	B. fragilis	CRC vs Healthy
C7Y58_RS02690	507.829927777642	4.5265508840072	1.9123101904064	2.36705891477011	0.0179300783417546	0.511260919806628	11	0.210498202865222	NZ_CP028101.1	rpoC	DNA-directed RNA polymerase subunit beta'	F. nucleatum	CRC vs Healthy
I6J55_RS01400	86.360077002543	6.15537999890577	2.62929980692013	2.3410719396492	0.0192284616368773	0.514668185940249	10	0.0494050664997632	NZ_CP069563.1		YncE family protein	B. fragilis	CRC vs Healthy
I6J55_RS12000	10.7211609160068	-3.76795876796548	1.60916185589078	-2.34156604829516	0.0192030278927504	0.514668185940249	9	0.00154603199844513	NZ_CP069563.1		SusC/RagA family TonB-linked outer membrane protein	B. fragilis	CRC vs Healthy
C7Y58_RS00735	313.073862385756	8.26942024799991	3.52966597104975	2.34283366069921	0.0191379132610203	0.514668185940249	9	0.109819239977465	NZ_CP028101.1	rplD	50S ribosomal protein L4	F. nucleatum	CRC vs Healthy
C7Y58_RS06320	577.968734688472	-2.18507782684158	0.929935540259137	-2.34970891233244	0.0187880975177038	0.514668185940249	11	0.331870209424475	NZ_CP028101.1	gap	type I glyceraldehyde-3-phosphate dehydrogenase	F. nucleatum	CRC vs Healthy
I6J55_RS20050	58.582245825501	5.70123146051186	2.440599989288	2.33599585574655	0.0194914575276633	0.516215864627377	10	0.0282533100375193	NZ_CP069563.1		Fur family transcriptional regulator	B. fragilis	CRC vs Healthy
I6J55_RS08390	21.3868195858982	-3.14549030116514	1.36267741781314	-2.30831615762232	0.0209815584099322	0.541686361897739	11	0.0042133619298285	NZ_CP069563.1		RecQ family ATP-dependent DNA helicase	B. fragilis	CRC vs Healthy
C7Y58_RS00315	234.670050729352	5.41495117342109	2.34940514490258	2.3048179600567	0.021176770807741	0.541686361897739	11	0.0908251325679965	NZ_CP028101.1	rpsL	30S ribosomal protein S12	F. nucleatum	CRC vs Healthy
C7Y58_RS04375	291.476555701157	3.68591810162526	1.60092409052821	2.30236906511234	0.0213143679761034	0.541686361897739	11	0.197637255361673	NZ_CP028101.1	pflB	formate C-acetyltransferase	F. nucleatum	CRC vs Healthy
C7Y58_RS06970	192.645774283965	7.59034742872496	3.29383918663984	2.30440740990399	0.0211997844448931	0.541686361897739	10	0.0620961203771095	NZ_CP028101.1		electron transfer flavoprotein subunit beta/FixA family protein	F. nucleatum	CRC vs Healthy
I6J55_RS15135	936.59855686258	2.15307642992346	0.938703408280737	2.29367062155115	0.0218094254826969	0.548725145144655	11	0.505382569865356	NZ_CP069563.1	rplJ	50S ribosomal protein L10	B. fragilis	CRC vs Healthy
I6J55_RS20400	85.3474591567525	-2.75837725726617	1.20782703673243	-2.28375187289108	0.0223861175718961	0.557658136741491	11	0.0251102779527682	NZ_CP069563.1		efflux RND transporter permease subunit	B. fragilis	CRC vs Healthy
I6J55_RS00805	90.058137762172	6.45424227191956	2.85377100287082	2.26165388373025	0.0237187960640699	0.569927483612204	10	0.0653920567254431	NZ_CP069563.1		Hsp20/alpha crystallin family protein	B. fragilis	CRC vs Healthy
I6J55_RS17460	38.136573448834	5.01196693380131	2.21710686036547	2.26058879858192	0.0237847320267414	0.569927483612204	10	0.0186713095196835	NZ_CP069563.1		ABC-F family ATP-binding cassette domain-containing protein	B. fragilis	CRC vs Healthy
C7Y58_RS09440	309.098746929912	8.25408378669999	3.64958683747928	2.2616488260904	0.0237191087910191	0.569927483612204	9	0.0922352496654795	NZ_CP028101.1	rpsD	30S ribosomal protein S4	F. nucleatum	CRC vs Healthy
C7Y58_RS09450	223.396654641118	7.75912265760785	3.42059403337583	2.26835531545094	0.0233075589656232	0.569927483612204	9	0.068772939886878	NZ_CP028101.1	rpsM	30S ribosomal protein S13	F. nucleatum	CRC vs Healthy
I6J55_RS01130	43.8960294156873	5.41803622293064	2.40249184608007	2.25517361558199	0.0241224333465809	0.571597946041609	9	0.0207440117593572	NZ_CP069563.1		winged helix-turn-helix domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS10995	80.6412365726884	2.71181747399354	1.20406794957636	2.25221298760396	0.024308815670291	0.571597946041609	11	0.0398400553445477	NZ_CP069563.1	thrA	bifunctional aspartate kinase/homoserine dehydrogenase I	B. fragilis	CRC vs Healthy
I6J55_RS04015	87.6231045927738	-3.39469463477997	1.52150675503612	-2.23114003506307	0.0256718545507655	0.582364355417991	11	0.00924221326543025	NZ_CP069563.1		DUF6531 domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS05165	51.748413331383	5.18018600264137	2.32681667978828	2.22629743358756	0.0259942652755808	0.582364355417991	10	0.0184674371682402	NZ_CP069563.1		Na(+)-translocating NADH-quinone reductase subunit C	B. fragilis	CRC vs Healthy
I6J55_RS08210	11.8760719321007	-3.052132457172	1.36478340312987	-2.2363493358525	0.0253288970898713	0.582364355417991	9	0.0092761919906708	NZ_CP069563.1		heavy metal translocating P-type ATPase	B. fragilis	CRC vs Healthy
I6J55_RS08440	53.435213619795	5.53745362985282	2.48922930949632	2.22456549451978	0.0261104211981948	0.582364355417991	10	0.029340629245217	NZ_CP069563.1		META domain-containing protein	B. fragilis	CRC vs Healthy
I6J55_RS20095	49.0968701396848	5.21499043442862	2.34497995161259	2.22389553089458	0.026155473832366	0.582364355417991	10	0.0208119692098383	NZ_CP069563.1		S46 family peptidase	B. fragilis	CRC vs Healthy
C7Y58_RS03645	15.6029523205726	-2.94241729282759	1.31679372460747	-2.2345316793674	0.0254481105144837	0.582364355417991	11	0.00474003217105706	NZ_CP028101.1	glpK	glycerol kinase GlpK	F. nucleatum	CRC vs Healthy
I6J55_RS01090	221.105454833962	2.08591296297632	0.94953543696273	2.19677210747237	0.0280367260659622	0.583339976625829	11	0.0854904727052298	NZ_CP069563.1	pheT	phenylalanine--tRNA ligase subunit beta	B. fragilis	CRC vs Healthy
I6J55_RS01855	32.283357997755	4.81630293386901	2.18360839614139	2.20566239916453	0.027407646495413	0.583339976625829	10	0.01476375611702	NZ_CP069563.1	rimO	30S ribosomal protein S12 methylthiotransferase RimO	B. fragilis	CRC vs Healthy
I6J55_RS07095	43.3924218098366	5.18857373690112	2.36531730580723	2.19360578987113	0.028263761825047	0.583339976625829	10	0.0160719370387813	NZ_CP069563.1		pyridoxal phosphate-dependent aminotransferase	B. fragilis	CRC vs Healthy
I6J55_RS13570	91.2690357364572	-2.43601203073915	1.11080391317909	-2.19301714896497	0.02830614355755	0.583339976625829	11	0.0209988521986614	NZ_CP069563.1	rnr	ribonuclease R	B. fragilis	CRC vs Healthy
I6J55_RS17820	34.4270771055549	5.00048978624199	2.27876503202275	2.19438586952657	0.0282076808891888	0.583339976625829	10	0.0182295860915564	NZ_CP069563.1		CCA tRNA nucleotidyltransferase	B. fragilis	CRC vs Healthy
I6J55_RS18740	18.3477740678104	-2.55094686253292	1.16352663153399	-2.19242670807609	0.028348709884856	0.583339976625829	11	0.00406045766624601	NZ_CP069563.1	thiL	thiamine-phosphate kinase	B. fragilis	CRC vs Healthy
